Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
101,Terry Glenn\GlenTe00,DAL,30,wr,6,6,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,0,0,0,0.00,0.00,,
102,Randy Hymes\HymeRa00,BAL,25,WR,14,7,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,0,0,0,0.00,0.00,,
103,Frisman Jackson\JackFr01,CLE,25,,10,0,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,0,0,0,0.00,0.00,,
104,Keyshawn Johnson\JohnKe00,DAL,32,WR,16,16,,0,2,0,0,0,0,1,50,0,0,0.0,-22.5,,0.0,0.0,0,0,0,0.00,-22.50,,
105,LaMont Jordan\JordLa00,NYJ,26,,16,0,,0,1,0,0,0,0,1,100,0,0,0.0,-45.0,,0.0,0.0,0,0,0,0.00,-45.00,,
106,Mat McBriar\McBrMa20,DAL,25,,16,0,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,0,0,0,0.00,0.00,,
107,Keenan McCardell\McCaKe00,SDG,34,wr,7,6,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,0,0,0,0.00,0.00,,
108,Mewelde Moore\MoorMe00,MIN,22,,10,3,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,0,0,0,0.00,0.00,,
109,Ricky Proehl\ProeRi00,CAR,36,,16,3,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,0,0,0,0.00,0.00,,
110,Jeff Saturday\SatuJe55,IND,29,C,14,14,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,0,0,0,0.00,0.00,,
111,Mike Scifres\ScifMi20,SDG,24,,16,0,,0,1,0,0,0,0,1,100,0,0,0.0,-45.0,,0.0,0.0,0,0,0,0.00,-45.00,,
112,Steve Smith Sr.\SmitSt01,CAR,25,,1,1,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,0,0,0,0.00,0.00,,
113,Brian St. Pierre\St.PBr20,PIT,25,,1,0,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,0,0,0,0.00,0.00,1,1
114,Jeff Wilkins\wilkijef01,STL,32,,16,0,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,0,0,0,0.00,0.00,,
115,Roy Williams\WillRo04,DET,23,WR,14,12,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,0,0,0,0.00,0.00,,
